,Pos,Player,Tm,Age,Yrs,G,GS,Cmp,PsAtt,PsYds,PsTD,PsInt,Att,RshYds,RshTD,Rec,RecYds,RecTD,Solo,Sk,Int,All-pro teams,Year
43,P,Darren Bennett,SDG,35,5.0,16,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,"FW: 1st Tm All-Conf., FW: 1st Tm",2000
44,WR,Terrell Owens,SFO,27,4.0,14,13,0,0,0,0,0,3,11,0,97,1451,13,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm",2000
45,LB,Jeremiah Trotter,PHI,23,2.0,16,16,0,0,0,0,0,0,0,0,0,0,0,99.0,3.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm",2000
46,EDGE,Mo Lewis,NYJ,31,9.0,16,16,0,0,0,0,0,1,3,0,0,0,0,65.0,10.0,1,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
47,DT,Sam Adams,BAL,27,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,23.0,2.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
48,EDGE,Trace Armstrong,MIA,35,11.0,16,0,0,0,0,0,0,0,0,0,0,0,0,24.0,16.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
49,CB,Champ Bailey,WAS,22,1.0,16,16,0,0,0,0,0,1,7,1,3,78,0,56.0,0.0,5,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
50,K,Martin Gramatica,TAM,25,1.0,16,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
51,TE,Chad Lewis,PHI,29,3.0,16,16,0,0,0,0,0,0,0,0,69,735,3,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
52,G,Steve Wisniewski,OAK,33,11.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
53,RB,Robert Smith,MIN,28,7.0,16,16,0,0,0,0,0,295,1521,7,36,348,3,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
54,CB,Darrick Vaughn,ATL,22,,16,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
55,WR,Rod Smith,DEN,30,5.0,16,16,0,0,0,0,0,6,99,1,100,1602,8,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
56,S,Rod Woodson,BAL,35,13.0,16,16,0,0,0,0,0,0,0,0,0,0,0,67.0,0.0,4,"FW: 1st Tm All-Conf., AP: 2nd Tm",2000
57,T,Brad Hopkins,TEN,30,7.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf.,2000
58,DT,Trevor Pryce,DEN,25,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,33.0,12.0,0,FW: 1st Tm All-Conf.,2000
59,P,Scott Player,ARI,31,2.0,16,0,0,0,0,0,0,1,-11,0,0,0,0,1.0,0.0,0,FW: 1st Tm All-Conf.,2000
